a	ə, ˈeɪ
anticyclone	ˌæntiːˈsaɪˌkloʊn
anticyclones	ˌæntiːˈsaɪˌkloʊnz
antidepressant	ˌæntiːdɪˈprɛsənt
antidepressants	ˌænˌtaɪdɪˈprɛsənts, ˌænˌtiːdɪˈprɛsənts
antidiscrimination	ˌæntiːdɪˌskrɪməˈneɪʃən, ˌæntaɪdɪˌskrɪməˈneɪʃən
antidisestablishmentarianism	ˌæntaɪˌdɪsəˌstæblɪʃmənˈtɛriːəˌnɪzəm
antidote	ˈæntɪˌdoʊt, ˈænɪˌdoʊt
antidrug	ˌæntɪˈdrʌg
antidumping	ˌæntiːˈdʌmpɪŋ, ˌæntaɪˈdʌmpɪŋ
antietam	ˌænˈtiːtəm
anti-federalist	ˌæntiːˈfɛdrəlɪst
anti-federalists	ˌæntiːˈfɛdrələsts
antifraud	ˈæntiːˌfrɑːd, ˈæntaɪˌfrɑːd
antifreeze	ˈæntiːˌfriːz
antifungal	ˌænˌtaɪˈfʌŋgəl, ˌænˌtiːˈfʌŋgəl
antigay	ˌænˌtaɪˈgeɪ, ˌænˌtiːˈgeɪ
antigen	ˈæntədʒən
antigens	ˈæntɪdʒənz
antigone	æˈtɪgəni
antigone's	ænˈtɪgəˌniːz
antigones	ænˈtɪgəˌniːz
antigovernment	ˌæntiːˈgʌvɝmənt, ˌæntaɪˈgʌvɝmənt
antigua	ænˈtiːgwə
antihistamine	ˌæntiːˈhɪstəmən
antihistamines	ˌæntiːˈhɪstəmənz
anti-infective	ˈæntiːɪnˈfɛktɪv
antiknock	ˌæntiːˈnɑːk
antill	ænˈtɪl
antilla	ɑːnˈtɪlə
antilles	ænˈtɪliːz
antilock	ˈæntiːˈlɑːk, ˈæntaɪˈlɑːk
antimatter	ætaɪˈmætɝ
antimissile	ˌænˌtaɪˈmɪsəl
antioch	ˈæntiːˌɑːk
antiochus	ænˈtaɪəkəs
antioxidant	ˌæntiːˈɑːksədənt
antioxidants	ˌæntiːˈɑːksədənts
antipathies	ænˈtɪpəθiːz
antipathy	ænˈtɪpəθi
antipersonnel	ænˌtaɪpɝsəˈnɛl
antiphon	ˈæntɪˌfɑːn
antiphons	ˈæntɪˌfɑːnz
antipodal	ænˈtɪpədəl
antipoverty	ˌæntaɪˈpɑːvɝti, ˌæntiːˈpɑːvɝti
antiquate	ˈæntəˌkweɪt
antiquated	ˈæntəˌkweɪtəd, ˈæntəˌkweɪtɪd
antique	ænˈtiːk
antiques	ænˈtiːks
antiquities	ænˈtɪkwətiːz
antiquity	ænˈtɪkwəti
antireformer	ˌæntiːrɪˈfɔrmɝ, ˌæntaɪrɪˈfɔrmɝ
antireformers	ˌæntiːrɪˈfɔrmɝz, ˌæntaɪrɪˈfɔrmɝz
antis	ˈæntaɪz
antisense	ˈæntiːˌsɛns, ˈæntaɪˌsɛns
antiseptic	ˌæntəˈsɛptɪk
antismoking	ˈæntiːˈsmoʊkɪŋ, ˈæntaɪˈsmoʊkɪŋ
antisocial	ˌæntɪˈsoʊʃəl, ˌæntaɪˈsoʊʃəl
antisubmarine	ˌæntɪˈsʌbmɝˌiːn, ˌæntaɪˈsʌbmɝˌiːn
antitakeover	ˌæntiːˈteɪˌkoʊvɝ
antitank	ˌæntiːˈtæŋk
antitax	ˌænˌtaɪˈtæks, ˌænˌtiːˈtæks
antitheft	ˌænˌtaɪˈθɛft, ˌænˌtiːˈθɛft
antithesis	ænˈtɪθəsəs
antithetical	ˌæntəˈθɛtɪkəl
antitoxin	ˌæntiːˈtɑːksən
antitoxins	ˌæntiːˈtɑːksənz
antitrust	ˌæntaɪˈtrʌst
antiviral	ˌæntiːˈvaɪrəl
antiwar	ˌæntaɪˈwɔr, ˌæntiːˈwɔr
antkowiak	əntˈkaʊiːæk
antle	ˈæntəl
antler	ˈæntlɝ
antlered	ˈæntlɝd
antlers	ˈæntlɝz
antley	ˈæntli
antoine	ɑːnˈtwɑːn
antoinette	ˌæntwəˈnɛt
antol	ɑːnˈtɔl
antolik	ˈæntəlɪk
antolini	ˌæntoʊˈliːni
anton	ˈænˌtɔn
antonacci	ɑːntoʊˈnɑːtʃi
antone	ɑːnˈtoʊni
antonelli	ɑːntoʊˈnɛli
antonellis	æntəˈnɛlɪs
antonetti	ɑːntoʊˈnɛti
antoni	ɑːnˈtoʊni
antonia	ænˈtoʊniːə
antonin	ˈæntənɪn
antonini	ɑːntoʊˈniːni
antonini's	ɑːntoʊˈniːniːz
antonio	ænˈtoʊniːoʊ
antonio's	ænˈtoʊniːˌoʊz
antonios	ænˈtoʊniːˌoʊz
antoniou	ɑːntoʊˈniːuː
antoniu	ˌænˈtoʊniːuː
antoniu's	ænˈtoʊniːuːz
antonius	ænˈtoʊniːəs
antonopoulos	æntəˈnɑːpəlɪs
antonovich	ˌænˈtɑːnəvɪtʃ
antonsen	ənˈtɑːnsən
antonson	ˈæntənsən
antonucci	ɑːntoʊˈnuːtʃi
antony	ˈæntəni
antoon	ˌænˈtuːn
antos	ˈɑːntoʊz
antosh	ənˈtɑːʃ
antril	ˈæntrɪl
antrim	ˈæntrɪm
antrobus	ˈæntrəbɪs
antroscope	ˈæntrəˌskoʊp
ants	ˈænts
antsy	ˈæntsi
anttila	ɑːnˈtiːlə
antuna	ɑːnˈtuːnə
antunes	ɑːnˈtuːnɛs
antunez	ɑːnˈtuːnɛz
antwerp	ˈæntwɝp
antwine	ˈænˌtwaɪn
anubis	əˈnuːbɪs
anus	ˈeɪnəs
anvil	ˈænvəl
anwar	ˈænwɑːr, ˈɑːnwɑːr
anway	ənˈweɪ
anwell	ənˈwɛl
anwyl	ˈænwɪl
anwyll	ˈænwɪl
anxieties	æŋˈzaɪətiːz
anxiety	æŋˈzaɪəti
anxious	ˈæŋkʃəs, ˈæŋʃəs
anxiously	ˈæŋkʃəsli
any	ˈɛni
anybody	ˈɛniːbədi
anybody's	ˈɛniːbədiːz
anyhow	ˈɛniːˌhaʊ
anymore	ˌɛniːˈmɔr
anyon	ˈɛniːɑːn
anyone	ˈɛniːˌwən, ˈɛniːwən
anyone'll	ˈɛniːˌwənəl
anyone's	ˈɛniːˌwənz
anyplace	ˈɛniːˌpleɪs
anything	ˈɛniːˌθɪŋ
anything's	ˈɛniːˌθɪŋz
anytime	ˈɛniːˌtaɪm
anytime'll	ˈɛniːˌtaɪməl
anytime's	ˈɛniːˌtaɪmz
anyway	ˈɛniːˌweɪ
anyways	ˈɛniːˌweɪz
anywhere	ˈɛniːˌwɛr, ˈɛniːˌhwɛr
anza	ˈænzə
anzaldua	ɑːnzɑːlˈduːə
anzalone	ˈænzəˌloʊn
anzelmo	ɑːnˈzɛlmoʊ
anzio	ˈænˌziːoʊ
anzus	ˈænzəs
aoi	ˈaʊi
aoki	eɪˈoʊki
aol	ˈeɪˈoʊˈɛl, əˈmɝːɪkəˈɑːnˌlaɪn
aon	ˈeɪoʊn
aorta	eɪˈɔrtə
aortic	eɪˈɔrtɪk
aoshima	ˌaʊˈʃiːmə, ˌeɪoʊˈʃiːmə
aoun	ˈaʊən, ˌaʊˈuːn
aoun's	ˈaʊənz, ˌaʊˈuːnz
aouzou	ˌaʊˈjuːzuː
aoyama	ˌaʊˈjɑːmə, ˌeɪoʊˈjɑːmə
ap	ˌeɪˈpiː
apace	əˈpeɪs
apache	əˈpætʃi
apache's	əˈpætʃiːz
apaches	əˈpætʃiːz
apacs	ˈeɪpæks
apalachicola	ˌæpəˌlætʃəˈkoʊlə
apalachicola's	ˌæpəˌlætʃəˈkoʊləz
aparicio	ˌæpɝˈɪsiːoʊ
apart	əˈpɑːrt
apartheid	əˈpɑːrˌtaɪt, əˈpɑːrˌtaɪd
apartheid's	əˈpɑːrˌtaɪts, əˈpɑːrˌtaɪdz
apartment	əˈpɑːrtmənt
apartments	əˈpɑːrtmənts
apathetic	ˌæpəˈθɛtɪk
apathy	ˈæpəθi
apatite	ˈæpəˌtaɪt
apatites	ˈæpəˌtaɪts
apc	ˈeɪˈpiːˈsiː
apcar	ˈæpkɑːr, ˈæpgɑːr
apc's	ˈeɪˈpiːˈsiːz
ape	ˈeɪp
apec	ˈeɪˌpɛk
apec's	ˈeɪˌpɛks
apel	ɑːˈpɛl
apelike	ˈeɪˌplaɪk
apennine	ˈæpəˌniːn
aperitif	əˌpɛrəˈtiːf
aperture	ˈæpɝtʃɝ
apes	ˈeɪps
apex	ˈeɪˌpɛks
apex's	ˈeɪˌpɛksɪz
apfel	ˈæpfəl
apfelbaum	ˈæpfəlˌbaʊm
apgar	ˈæpgɝ
aphasia	əˈfeɪʒə
aphid	ˈæfɪd, ˈeɪfɪd
aphids	ˈæfɪdz, ˈeɪfɪdz
aphorism	ˈæfɝˌɪzəm
aphorisms	ˈæfɝˌɪzəmz
aphrodisiac	ˌæfroʊˈdiːziːæk
aphrodite	ˌæfrəˈdaɪti
aphrodite's	ˌæfrəˈdaɪtiːz
aphrodites	ˌæfrəˈdaɪtiːz
apia	ˈɑːpɪˌɑː
apicella	ˌɑːpɪˈsɛlə
apiece	əˈpiːs
aping	ˈeɪpɪŋ
aplenty	əˈplɛnti
aplin	ˈæplɪn
aplomb	əˈplɑːm
apnea	ˈæpniːə
apocalypse	əˈpɑːkəˌlɪps
apocalyptic	əˌpɑːkəˈlɪptɪk
apocryphal	əˈpɑːkrəfəl
apodaca	ɑːpoʊˈdɑːkə
apogee	ˈæpəˌdʒiː
apolitical	ˌeɪpəˈlɪtɪkəl
apolline	ˈæpəˌlaɪn
apollinian	ˌæpəˈlɪniːən
apollo	əˈpɑːloʊ
apollonian	ˌæpəˈloʊniːən
apollo's	əˈpɑːloʊz
apologetic	əˌpɑːləˈdʒɛtɪk
apologetically	əˌpɑːləˈdʒɛtɪˌkliː
apologies	əˈpɑːləˌdʒiːz
apologise	əˈpɑːləˌdʒaɪz
apologised	əˈpɑːləˌdʒaɪzd
apologises	əˈpɑːləˌdʒaɪzɪz
apologising	əˈpɑːləˌdʒaɪzɪŋ
apologist	əˈpɑːlədʒɪst
apologists	əˈpɑːlədʒɪsts
apologize	əˈpɑːləˌdʒaɪz
apologized	əˈpɑːləˌdʒaɪzd
apologizes	əˈpɑːləˌdʒaɪzɪz
apologizing	əˈpɑːləˌdʒaɪzɪŋ
apology	əˈpɑːləˌdʒiː
aponte	əˈpɑːnti
apopa	əˈpoʊpə
apopka	əˈpɔpkə
apoplectic	ˌæpəˈplɛktɪk
apoplexy	ˈæpəˌplɛksi
apoptosis	ˌæpɔpˈtoʊsɪz
apostate	əˈpɔsteɪt
apostle	əˈpɔsəl
apostles	əˈpɔsəlz
apostol	ˈæpɔstəl
apostolic	ˌæpɔˈstɔlɪk
apostolopoul	əˌpɑːstoʊloʊˈpuːl
apostrophe	əˈpɑːstrəˌfiː
apostrophes	əˈpɑːstrəˌfiːz
apothecary	əˈpɑːθəˌkɛri
apotheosis	əˌpɑːθiːˈoʊsəs
app	ˈæp
appalachia	ˌæpəˈlætʃiːə
appalachian	ˌæpəˈleɪtʃən, ˌæpəˈleɪʃən, ˌæpəˈlætʃən
appalachians	ˌæpəˈleɪtʃənz, ˌæpəˈleɪʃənz, ˈæpəˈlætʃənz
appall	əˈpɔl
appalled	əˈpɔld
appalling	əˈpɔlɪŋ
appallingly	əˈpɔlɪŋli
appalls	əˈpɔlz
apparatchik	ˌæpɝˈætʃɪk
apparatchiks	ˌæpɝˈætʃɪks
apparatus	ˌæpɝˈætəs
apparatuses	ˌæpɝˈætəsəz
apparel	əˈpærəl
apparent	əˈpɛrənt
apparently	əˈpɛrəntli
apparition	ˌæpɝˈɪʃən
apparitions	ˌæpɝˈɪʃənz
appeal	əˈpiːl
appealable	əˈpiːləbəl
appealed	əˈpiːld
appealing	əˈpiːlɪŋ
appealingly	əˈpiːlɪŋli
appeals	əˈpiːlz
appear	əˈpɪr
appearance	əˈpɪrəns
appearances	əˈpɪrənsəz
appeared	əˈpɪrd
appearing	əˈpɪrɪŋ
appears	əˈpɪrz
appease	əˈpiːz
appeased	əˈpiːzd
appeasement	əˈpiːzmənt
appeasing	əˈpiːzɪŋ
appel	ˈæpəl
appelbaum	ˈæpəlˌbaʊm
appelhans	ˈæpɪlhənz
appell	ˈæpəl
appellate	əˈpɛlɪt, əˈpɛˌleɪt
appellation	ˌæpəˈleɪʃən
appellations	ˌæpəˈleɪʃənz
appelman	ˈæpəlmən
appelt	ˈæpɪlt
append	əˈpɛnd
appendage	əˈpɛndɪdʒ
appendages	əˈpɛndɪdʒɪz
appendectomies	ˌæpənˈdɛktəmiːz
appendectomy	ˌæpɪnˈdɛktəmi
appended	əˈpɛndɪd
appendicitis	əˌpɛnˌdɪˈsaɪtɪz
appendix	əˈpɛndɪks
appendixes	əˈpɛndɪksɪz
appenzeller	ˈæpɪnzəlɝ
apperson	ˈæpɝsən
appert	ˈæpɝt
appetite	ˈæpəˌtaɪt
appetites	ˈæpəˌtaɪts
appetito	ˌæpəˈtiːˌtoʊ
appetizer	ˈæpəˌtaɪzɝ
appetizers	ˈæpəˌtaɪzɝz
appetizing	ˈæpɪˌtaɪzɪŋ
appia	ˈæpiːə
appian	ˈæpiːən
applaud	əˈplɔd
applauded	əˈplɔdɪd
applauding	əˈplɔdɪŋ
applauds	əˈplɔdz
applause	əˈplɔz
apple	ˈæpəl
appleans	əˈpliːnz
applebaum	ˈæpəlˌbaʊm
applebee	ˈæpəlˌbiː
applebee's	ˈæpəlˌbiːz
appleberry	ˈæpəlˌbɛri
appleby	ˈæpəlˌbiː
applegarth	ˈæpləˌgɑːrθ
applegate	ˈæpəlˌgeɪt
appleman	ˈæpəlmən
applequist	ˈæpəlkwɪst
apple's	ˈæpəlz
apples	ˈæpəlz
applesauce	ˈæpəlˌsɔs
appleseed	ˈæpəlˌsiːd
appleshare	ˈæpəlˌʃɛr
applet	ˈæplət
appleton	ˈæpəltən
applewhite	ˈæpəlˌwaɪt
appleyard	ˈæpəlˌjɑːrd
appliance	əˈplaɪəns
appliances	əˈplaɪənsɪz
applicability	ˌæpləkəˈbɪləti
applicable	ˈæpləkəbəl
applicant	ˈæplɪkənt
applicant's	ˈæplɪkənts
applicants	ˈæplɪkənts
applicants'	ˈæpləkənts
application	ˌæpləˈkeɪʃən
applications	ˌæpləˈkeɪʃənz
applicator	ˈæpləˌkeɪtɝ
applicators	ˈæpləˌkeɪtɝz
applied	əˈplaɪd
applies	əˈplaɪz
applin	ˈæplɪn
appling	ˈæpəlɪŋ, ˈæplɪŋ
apply	əˈplaɪ
applying	əˈplaɪɪŋ
appoint	əˈpɔɪnt
appointed	əˈpɔɪntəd, əˈpɔɪntɪd
appointee	əpɔɪnˈtiː, əˈpɔɪnti
appointees	əpɔɪnˈtiːz, əˈpɔɪntiːz
appointing	əˈpɔɪntɪŋ
appointive	əˈpɔɪntɪv
appointment	əˈpɔɪntmənt
appointments	əˈpɔɪntmənts
appoints	əˈpɔɪnts
apportion	əˈpɔrʃən
apportioned	əˈpɔrʃənd
apportioning	əˈpɔrʃənɪŋ
apportionment	əˈpɔrʃənmənt
appraisal	əˈpreɪzəl
appraisals	əˈpreɪzəlz
appraise	əˈpreɪz
appraised	əˈpreɪzd
appraiser	əˈpreɪzɝ
appraisers	əˈpreɪzɝz
appraises	əˈpreɪzɪz
appraising	əˈpreɪzɪŋ
appreciable	əˈpriːʃəbəl
appreciably	əˈpriːʃəbli
appreciate	əˈpriːʃiːˌeɪt
appreciated	əˈpriːʃiːˌeɪtɪd
appreciates	əˈpriːʃiːˌeɪts
appreciating	əˈpriːʃiːˌeɪtɪŋ
appreciation	əˌpriːʃiːˈeɪʃən
appreciative	əˈpriːʃiːˌeɪtɪv, əˈpriːʃjətɪv
appreciatively	əˈpriːʃiːˌeɪtɪvli, əˈpriːʃjətɪvli
apprehend	ˌæprɪˈhɛnd
apprehended	ˌæprɪˈhɛndəd
apprehending	ˌæprɪˈhɛndɪŋ
apprehension	ˌæprɪˈhɛnʃən
apprehensions	ˌæprɪˈhɛnʃənz
apprehensive	ˌæprɪˈhɛnsɪv, ˌæpriːˈhɛnsɪv
apprentice	əˈprɛntəs, əˈprɛntɪs
apprenticed	əˈprɛntəst
apprentices	əˈprɛntəsɪz
apprenticeship	əˈprɛntəsˌʃɪp
apprenticeships	əˈprɛntəsˌʃɪps
apprise	əˈpraɪz
apprised	əˈpraɪzd
apprises	əˈpraɪzɪz
appro	ˈæproʊ
approach	əˈproʊtʃ
approachable	əˈproʊtʃəbəl
approached	əˈproʊtʃt
approaches	əˈproʊtʃɪz
approaching	əˈproʊtʃɪŋ
approbation	ˌæprəˈbeɪʃən
appropriate	əˈproʊpriːət, əˈproʊpriːˌeɪt
appropriated	əˈproʊpriːˌeɪtɪd
appropriately	əˈproʊpriːɪtli
appropriateness	əˈproʊpriːətnəs
appropriates	əˈproʊpriːˌeɪts
appropriating	əˈproʊpriːˌeɪtɪŋ
appropriation	əˌproʊpriːˈeɪʃən
appropriations	əˌproʊpriːˈeɪʃənz
appropriator	əˈproʊpriːˌeɪtɝ
appropriators	əˈproʊpriːˌeɪtɝz
approvable	əˈpruːvəbəl
approval	əˈpruːvəl
approvals	əˈpruːvəlz
approve	əˈpruːv
approved	əˈpruːvd
approves	əˈpruːvz
approving	əˈpruːvɪŋ
approvingly	əˈpruːvɪŋli
approximate	əˈprɑːksəmət, əˈprɑːksəˌmeɪt
approximated	əˈprɑːksəˌmeɪtəd
approximately	əˈprɑːksəmətli
approximates	əˈprɑːksəməts, əˈprɑːksəˌmeɪts
approximating	əˈprɑːksɪˌmeɪtɪŋ
approximation	əˌprɑːksəˈmeɪʃən
approximations	əˌprɑːksəˈmeɪʃənz
apps	ˈæps
apra	ˈeɪprə
aprea	ˈɑːpriːə
apricot	ˈeɪprəˌkɑːt
apricots	ˈæprəˌkɑːts
april	ˈeɪprəl
aprile	ˈɑːprəl
april's	ˈeɪprəlz
apriori	əpriːˈɔri
aprodiva	ˌæprɔˈdiːvə
apron	ˈeɪprən
aprons	ˈeɪprənz
apropos	ˌæprəˈpoʊ
apsell	ˈæpsəl
apsey	ˈæpsi
apso	ˈæpsoʊ
apstar	ˈæpˌstɑːr
apt	ˈæpt
apter	ˈæptɝ
aptitude	ˈæptəˌtuːd
aptitudes	ˈæptəˌtuːdz
aptiva	ˌæpˈtiːvə
aptly	ˈæptli
apuzzo	ɑːˈpuːzoʊ
aqaba	əˈkɑːbə
aqazadeh	ˌækəˈzɑːˌdɛ
aqua	ˈækwə, ˈɑːkwə
aquaculture	ˈækwəˌkəltʃɝ
aqualung	ˈækwələŋ
aquamarine	ˌɑːkwəmɝˈiːn
aquanaut	ˈɑːkwəˌnɑːt
aquanauts	ˈɑːkwəˌnɑːts
aquarist	əˈkwɛrɪst
aquarists	əˈkwɛrɪsts
aquarium	əˈkwɛriːəm
aquariums	əˈkwɛriːəmz
aquarius	əˈkwɛriːəs
aquatic	əˈkwɑːtɪk, əˈkwætɪk
aqueduct	ˈækwəˌdəkt
aqueducts	ˈækwəˌdəkts
aqueous	ˈeɪkwiːəs
aquifer	ˈækwəfɝ
aquifers	ˈækwəfɝz
aquila	ˈækwələ
aquilar	ɑːkwiːˈlɑːr
aquilina	ɑːkwiːˈliːnə
aquilino	ɑːkwiːˈliːnoʊ
aquinas	əˈkwaɪnəs
aquino	əˈkiːnoʊ
aquino's	əˈkiːnoʊz
aquirre	ˈækwɝ
aquitaine	ˌækwɪˈteɪn
ar	ˈɑːr
ara	ˈærə
arab	ˈærəb, ˈeɪrəb
arabe	ɑːˈrɑːbeɪ
arabella	ˌærəˈbɛlə
arabia	əˈreɪbiːə
arabian	əˈreɪbiːən
arabians	əˈreɪbiːənz
arabia's	əˈreɪbiːəz
arabic	ˈærəbɪk, ˈɛrəbɪk
arabica	ɝˈæbɪkə
arabichon	əˈræbɪˌʃɔn
arabichon's	əˈræbɪˌʃɔnz
arabicon	əˈræbəˌkɔn
arabie	ˈærəbi
arable	ˈærəbəl
arabs	ˈærəbz, ˈeɪrəbz
arabs'	ˈærəbz
arachnid	əˈræknəd
arachnids	əˈræknɪdz
arafat	ˈɑːrəˌfɑːt
arafat's	ˈɑːrəˌfɑːts
aragon	ˈɛrəˌgɑːn
aragona	ɑːrɑːˈgoʊnə
arai	ɑːˈrɑːi
araiza	ɝˈeɪzə
arakaki	ɑːrɑːˈkɑːki
arakawa	ˌɑːrɑːˈkɑːwə
arakelian	ærəˈkɛljən
araki	ɑːˈrɑːki
aral	ˈɑːrɑːl
arambula	ɑːrɑːmˈbuːlə
aramco	ɝˈæmkoʊ
aramid	ˈɛrəmɪd
araminta	ˌærəˈmɪntə
aramis	ˈɛrəmɪs
aramony	ˈɑːrəˌmoʊni, ˈɛrəˌmoʊni
aran	ˈɛrən
arana	ɑːˈrænə
aranda	ɝˈændə
arango	ɑːˈrɑːŋgoʊ
aransas	ɝˈænsəs
arant	ˈɑːrənt
arantxa	ˈɑːˌrætsɑː
arantza	əˈrɑːntzə
aranyos	ɝˈɑːnˌjoʊs
arapaho	ɝˈæpəˌhoʊ
arapahoe	ɝˈæpəˌhoʊ
ararat	ˈærəˌrɑːt
araskog	ɝˈæsɑːg, ɝˈæskɑːg
arata	ɑːˈrɑːtə
arau	əˈraʊ
araujo	ɑːˈraʊjoʊ
aravind	ˈɑːrvənd
arawak	ˈɑːrɑːˌwɑːk
araya	ɝˈaɪə
arb	ˈɑːrb
arba	ˈɑːrbə
arbat	ˈɑːrbæt
arbaugh	ˈɑːrˌbɔ
arbed	ˈɑːrbɪd
arbeiter	ˈɑːrbaɪtɝ
arbel	ˈɑːrbəl
arbella	ˌɑːrˈbɛlə
arbenz	ˈɑːrbɛnz
arbiter	ˈɑːrbɪtɝ
arbiters	ˈɑːrbətɝz
arbitrage	ˈɑːrbɪˌtrɑːʒ
arbitrager	ˈɑːrbɪˌtrɑːʒɝ
arbitragers	ˈɑːrbɪˌtrɑːʒɝz
arbitragers'	ˈɑːrbɪˌtrɑːʒɝz
arbitrageur	ˈɑːrbɪˌtrɑːʒɝ
arbitrageurs	ˌɑːrbəˌtrɑːˈʒɝːz
arbitraging	ˈɑːrbəˌtrɑːdʒɪŋ
arbitrarily	ˈɑːrbɪˌtrɛrəli
arbitrariness	ˈɑːrbəˌtrɛriːnəs
arbitrary	ˈɑːrbəˌtrɛri, ˈɑːrbɪˌtrɛri
arbitrate	ˈɑːrbəˌtreɪt
arbitrated	ˈɑːrbəˌtreɪtɪd
arbitrates	ˈɑːrbɪˌtreɪts
arbitrating	ˈɑːrbəˌtreɪtɪŋ
arbitration	ˌɑːrbɪˈtreɪʃən
arbitrations	ˌɑːrbɪˈtreɪʃənz
arbitrator	ˈɑːrbɪˌtreɪtɝ
arbitrator's	ˈɑːrbəˌtreɪtɝz
arbitrators	ˈɑːrbɪˌtreɪtɝz
arbitrators'	ˈɑːrbəˌtreɪtɝz
arbitron	ˈɑːrbəˌtrɑːn, ˈɑːrbətrən
arbo	ˈɑːrboʊ
arbogast	ɑːrˈboʊgɑːst
arboleda	ɑːrboʊˈlɛdə
arbor	ˈɑːrbɝ
arboreal	ɑːrˈbɔriːəl
arboretum	ˌɑːrbɝˈiːtəm
arborville	ˈɑːrbɝvɪl
arbothnott	ˌɑːrˈbɔθnɔt
arbour	ˈɑːrbɝ
arbs	ˈɑːrbz
arbuckle	ˈɑːrbəkəl
arbuckles	ˈɑːrbəkəlz
arbuthnot	ɑːrˈbʌθnət
arby	ˈɑːrbi
arby's	ˈɑːrbiːz
arc	ˈɑːrk
arcade	ɑːrˈkeɪd
arcades	ɑːrˈkeɪdz
arcadia	ɑːrˈkeɪdiːə
arcadian	ˌɑːrˈkeɪdiːən
arcadians	ˌɑːrˈkeɪdiːənz
arcana	ɑːrˈkænə
arcand	ˈɑːrkənd
arcane	ˌɑːrˈkeɪn
arcanum	ˈɑːrkənəm
arcanum's	ˈɑːrkənəmz
arcaro	ɑːrˈkɑːroʊ
arcata	ɑːrˈkɑːtə
arce	ˈɑːrs
arcement	ɑːrˈseɪmənt
arceneaux	ˈɑːrsɪnoʊ
arceo	ˈɑːrsiːoʊ
arch	ˈɑːrtʃ
archaeological	ˌɑːrkiːəˈlɑːdʒɪkəl
archaeologist	ˌɑːrkiːˈɑːlədʒɪst
archaeologists	ˌɑːrkiːˈɑːlədʒɪsts
archaeology	ˌɑːrkiːˈɑːlədʒi
archaic	ɑːrˈkeɪɪk
archambault	ˈɑːrʃəmboʊ
archambeau	ˈɑːrʃəmˌboʊ
archambeault	ˈɑːrʃəmboʊ
archangel	ˌɑːrˈkeɪndʒəl
archangels	ˌɑːrˈkeɪndʒəlz
archard	ɑːrˈʃɑːrd
archbishop	ˈɑːrtʃˈbɪʃəp
archbold	ˈɑːrtʃˌboʊld
archdiocese	ˈɑːrtʃˈdaɪəsəs, ˈɑːrtʃˈdaɪəsiːz
archduke	ˈɑːrtʃˌduːk
arched	ˈɑːrtʃt
archenemy	ˈɑːrˈtʃɛnəmi
archeological	ˌɑːrkiːəˈlɑːdʒɪkəl
archeology	ˌɑːrkiːˈɑːlədʒi
archer	ˈɑːrtʃɝ
archerd	ˈɑːrkɝd
archer's	ˈɑːrtʃɝz
archers	ˈɑːrtʃɝz
archery	ˈɑːrtʃɝi
arches	ˈɑːrtʃəz, ˈɑːrtʃɪz
archetypal	ˈɑːrkˈtaɪpəl
archetype	ˈɑːrkɪˌtaɪp
archetypes	ˈɑːrkɪˌtaɪps
archey	ˈɑːrki
archibald	ˈɑːrtʃəˌbɔld
archibeque	ˈɑːrʃɪbiːk
archie	ˈɑːrtʃi
archimedes	ˌɑːrkəˈmiːdiːz
arching	ˈɑːrtʃɪŋ
archipelago	ˌɑːrkəˈpɛləˌgoʊ, ˌɑːrtʃəpəˈleɪˌgoʊ
architect	ˈɑːrkəˌtɛkt
architect's	ˈɑːrkəˌtɛkts
architects	ˈɑːrkəˌtɛkts
architectural	ˌɑːrkəˈtɛktʃɝəl
architecturally	ˌɑːrkɪˈtɛktʃɝəli, ˌɑːrkɪˈtɛktʃrəli
architecture	ˈɑːrkəˌtɛktʃɝ
architecture's	ˈɑːrkəˌtɛktʃɝz
architectures	ˈɑːrkəˌtɛktʃɝz
architrave	ˈɑːrkəˌtreɪv
architraves	ˈɑːrkəˌtreɪvz
archival	ɑːrˈkaɪvəl
archive	ˈɑːrˌkaɪv
archives	ˈɑːrˌkaɪvz
archivist	ˈɑːrkəvɪst, ˈɑːrkaɪvɪst
archivists	ˈɑːrkəvɪsts, ˈɑːrkaɪvɪsts
archly	ˈɑːrtʃli
archrival	ˈɑːrtʃˌraɪvəl
archrivals	ˈɑːrtʃˌraɪvəlz
archuleta	ɑːrkuːˈlɛtə
archuletta	ɑːrkuːˈlɛtə
archway	ˈɑːrtʃˌweɪ
arcidiacono	ɑːrtʃiːˌdiːɑːˈkoʊˌnoʊ
arcieri	ɑːrˈtʃɪri
arciniega	ɑːrtʃiːˈniːgə
arco	ˈɑːrkoʊ
arcola	ɑːrˈkoʊlə
arco's	ˈɑːrkoʊz
arcos	ˈɑːrkoʊz
arcosanti	ˌɑːrkəˈsænti
arcs	ˈɑːrks
arctic	ˈɑːrktɪk, ˈɑːrtɪk
arcturus	ˌɑːrkˈtʊrəs, ˌɑːrkˈtɝːəs
arcuri	ɑːrˈkʊri
ard	ˈɑːrd
arda	ˈɑːrdə
ardath	ˈɑːrdəθ
ardeen	ɑːrˈdiːn
ardelia	ɑːrˈdɛliːə
ardella	ˌɑːrˈdɛlə
ardelle	ɑːrˈdɛl
arden	ˈɑːrdən
ardene	ˈɑːrˌdiːn
arden's	ˈɑːrdənz
ardent	ˈɑːrdənt
ardently	ˈɑːrdəntli
ardin	ˈɑːrdɪn
ardine	ɑːrˈdiːni
ardis	ˈɑːrdɪs
ardith	ˈɑːrdɪθ
